ImageNumber,ObjectNumber,Metadata_ExperimentID,Metadata_FileLocation,Metadata_Frame,Metadata_ImageID,Metadata_Series,Metadata_Stain,Metadata_Treatment,Intensity_IntegratedIntensityEdge_ImageAfterMathLamina,Intensity_IntegratedIntensityEdge_RawInput,Intensity_IntegratedIntensity_ImageAfterMathLamina,Intensity_IntegratedIntensity_RawInput,Intensity_LowerQuartileIntensity_ImageAfterMathLamina,Intensity_LowerQuartileIntensity_RawInput,Intensity_MADIntensity_ImageAfterMathLamina,Intensity_MADIntensity_RawInput,Intensity_MassDisplacement_ImageAfterMathLamina,Intensity_MassDisplacement_RawInput,Intensity_MaxIntensityEdge_ImageAfterMathLamina,Intensity_MaxIntensityEdge_RawInput,Intensity_MaxIntensity_ImageAfterMathLamina,Intensity_MaxIntensity_RawInput,Intensity_MeanIntensityEdge_ImageAfterMathLamina,Intensity_MeanIntensityEdge_RawInput,Intensity_MeanIntensity_ImageAfterMathLamina,Intensity_MeanIntensity_RawInput,Intensity_MedianIntensity_ImageAfterMathLamina,Intensity_MedianIntensity_RawInput,Intensity_MinIntensityEdge_ImageAfterMathLamina,Intensity_MinIntensityEdge_RawInput,Intensity_MinIntensity_ImageAfterMathLamina,Intensity_MinIntensity_RawInput,Intensity_StdIntensityEdge_ImageAfterMathLamina,Intensity_StdIntensityEdge_RawInput,Intensity_StdIntensity_ImageAfterMathLamina,Intensity_StdIntensity_RawInput,Intensity_UpperQuartileIntensity_ImageAfterMathLamina,Intensity_UpperQuartileIntensity_RawInput,Location_CenterMassIntensity_X_ImageAfterMathLamina,Location_CenterMassIntensity_X_RawInput,Location_CenterMassIntensity_Y_ImageAfterMathLamina,Location_CenterMassIntensity_Y_RawInput,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_ImageAfterMathLamina,Location_MaxIntensity_X_RawInput,Location_MaxIntensity_Y_ImageAfterMathLamina,Location_MaxIntensity_Y_RawInput,Number_Object_Number,Texture_AngularSecondMoment_RawInput_10_0,Texture_AngularSecondMoment_RawInput_10_90,Texture_AngularSecondMoment_RawInput_5_0,Texture_AngularSecondMoment_RawInput_5_90,Texture_Contrast_RawInput_10_0,Texture_Contrast_RawInput_10_90,Texture_Contrast_RawInput_5_0,Texture_Contrast_RawInput_5_90,Texture_Correlation_RawInput_10_0,Texture_Correlation_RawInput_10_90,Texture_Correlation_RawInput_5_0,Texture_Correlation_RawInput_5_90,Texture_DifferenceEntropy_RawInput_10_0,Texture_DifferenceEntropy_RawInput_10_90,Texture_DifferenceEntropy_RawInput_5_0,Texture_DifferenceEntropy_RawInput_5_90,Texture_DifferenceVariance_RawInput_10_0,Texture_DifferenceVariance_RawInput_10_90,Texture_DifferenceVariance_RawInput_5_0,Texture_DifferenceVariance_RawInput_5_90,Texture_Entropy_RawInput_10_0,Texture_Entropy_RawInput_10_90,Texture_Entropy_RawInput_5_0,Texture_Entropy_RawInput_5_90,Texture_InfoMeas1_RawInput_10_0,Texture_InfoMeas1_RawInput_10_90,Texture_InfoMeas1_RawInput_5_0,Texture_InfoMeas1_RawInput_5_90,Texture_InfoMeas2_RawInput_10_0,Texture_InfoMeas2_RawInput_10_90,Texture_InfoMeas2_RawInput_5_0,Texture_InfoMeas2_RawInput_5_90,Texture_InverseDifferenceMoment_RawInput_10_0,Texture_InverseDifferenceMoment_RawInput_10_90,Texture_InverseDifferenceMoment_RawInput_5_0,Texture_InverseDifferenceMoment_RawInput_5_90,Texture_SumAverage_RawInput_10_0,Texture_SumAverage_RawInput_10_90,Texture_SumAverage_RawInput_5_0,Texture_SumAverage_RawInput_5_90,Texture_SumEntropy_RawInput_10_0,Texture_SumEntropy_RawInput_10_90,Texture_SumEntropy_RawInput_5_0,Texture_SumEntropy_RawInput_5_90,Texture_SumVariance_RawInput_10_0,Texture_SumVariance_RawInput_10_90,Texture_SumVariance_RawInput_5_0,Texture_SumVariance_RawInput_5_90,Texture_Variance_RawInput_10_0,Texture_Variance_RawInput_10_90,Texture_Variance_RawInput_5_0,Texture_Variance_RawInput_5_90
1,1,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,62.17647237,0,1309.33337,0,0.05882353,0,0.027450979,nan,3.583717611,0,0.607843161,0,0.952941179,0,0.112842963,0,0.094618685,0,0.082352944,0,0.019607844,0,0,0,0.059739988,0,0.064367131,0,0.113725491,nan,1592.710767,nan,322.3777735,1591.805825,325.8453534,1584,1614,404,261,1,0.436595679,0.440150665,0.444379848,0.446083238,0.668030439,0.646484529,0.613878867,0.558796924,0.006213838,0.010579391,0.106612728,0.170443544,0.822196361,0.815149394,0.791278514,0.775253132,0.499971366,0.483026949,0.463660888,0.416570262,1.246014933,1.230829008,1.243262855,1.235163622,-0.001765432,-0.003048694,-0.012645888,-0.020390525,0.047656537,0.061792377,0.12646263,0.15887712,0.817546261,0.819179279,0.825682949,0.827560489,2.508141723,2.499409495,2.512090274,2.509799487,0.952509941,0.941623118,0.95654233,0.952031402,0.67559446,0.660046104,0.760025008,0.788272732,0.305677734,0.353294414,0.332705492,0.346939084
1,2,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,62.36078608,0,715.1176665,0,0.101960786,0,0.04313726,nan,2.155621373,0,0.796078444,0,0.980392158,0,0.173706925,0,0.168223398,0,0.141176477,0,0.019607844,0,0.011764706,0,0.106681155,0,0.110260256,0,0.196078435,nan,806.7318637,nan,387.3188506,808.2874618,388.8111033,838,814,424,391,2,0.143246271,0.146826021,0.156582824,0.154636743,1.963036117,1.726791277,1.342666324,1.460586494,-0.050885611,0.031215044,0.287857226,0.21268139,1.2421828,1.190694993,1.103068327,1.13219473,1.080687593,0.976220048,0.784300749,0.863989223,2.295720422,2.274689178,2.252584409,2.257891348,-0.006181457,-0.008094012,-0.044966707,-0.033118998,0.119033892,0.136062815,0.315017972,0.272937691,0.620319858,0.643127902,0.680664693,0.675198698,3.574209932,3.562928349,3.576419214,3.57519505,1.560699896,1.582450567,1.637483517,1.630994912,1.77270959,1.833578964,2.426024989,2.242193431,0.951062171,0.918566008,0.923800938,0.966529674
1,3,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,82.25882556,0,824.8745311,0,0.101960786,0,0.054901958,nan,2.044646441,0,1,0,1,0,0.236375936,0,0.18854275,0,0.149019614,0,0.035294119,0,0.011764706,0,0.181284056,0,0.140378076,0,0.219607845,nan,1305.8951,nan,456.2060302,1307.933714,456.3629714,1307,1277,424,444,3,0.132581611,0.125613334,0.145201727,0.139648331,2.351905312,2.715228147,1.620451051,1.875406555,0.046023704,-0.02613251,0.371462585,0.294819871,1.297188632,1.354199193,1.17930635,1.222325216,1.370867674,1.57659015,0.970820008,1.121720199,2.436634728,2.489659858,2.409807679,2.451296332,-0.011688362,-0.009419379,-0.06668112,-0.04100617,0.168300915,0.154971945,0.391976369,0.315561789,0.617921891,0.600769803,0.669499713,0.652194775,3.702367206,3.747663551,3.75217837,3.76032024,1.69712907,1.70656352,1.757499443,1.750755249,2.577407791,2.562494541,3.528282031,3.427167073,1.344748809,1.465011223,1.373878173,1.406519613
1,4,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,75.46274723,0,906.7608081,0,0.070588239,0,0.047058828,nan,7.328244478,0,0.772549033,0,1,0,0.19104493,0,0.155961611,0,0.109803922,0,0.019607844,0,0.003921569,0,0.155584301,0,0.15088274,0,0.180392161,nan,1425.212677,nan,500.4780127,1423.861713,493.2753698,1442,1403,450,522,4,0.230381087,0.22894719,0.254933934,0.251978097,2.037143443,2.523162446,1.560449859,1.715144682,0.256963499,0.096920737,0.46670997,0.407501153,1.236994647,1.282539608,1.109719392,1.134339574,1.361663874,1.742648222,1.112415983,1.226038675,2.146625584,2.146726473,2.119852816,2.118690144,-0.035553395,-0.02688054,-0.103320376,-0.10022807,0.279730046,0.250190852,0.458873239,0.458252302,0.692716867,0.689633926,0.742323442,0.735298404,3.312333265,3.318715256,3.371508903,3.371664788,1.574756287,1.577682383,1.599030423,1.600090643,3.389827369,2.976452292,4.275476917,4.014815304,1.11606856,1.046230616,1.381120415,1.28013305
1,5,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,79.38039417,0,1040.400028,0,0.098039217,0,0.050980397,nan,0.560006871,0,0.87843138,0,1,0,0.21111807,0,0.174154675,0,0.145098045,0,0.031372551,0,0.007843138,0,0.139803766,0,0.118804388,0,0.20784314,nan,997.0078175,nan,560.6635608,997.2956143,561.1439571,1010,970,584,578,5,0.140896044,0.139123363,0.153063862,0.152386209,1.993089431,1.993600931,1.40830577,1.435814455,-0.021899354,-0.01240974,0.279048062,0.281827547,1.257878922,1.252493873,1.124330822,1.118193917,1.128794203,1.134106188,0.83903247,0.866145045,2.317315674,2.336634161,2.28792674,2.299835874,-0.006758141,-0.006995802,-0.040353465,-0.050424329,0.124898755,0.128720741,0.300842817,0.336377249,0.628454924,0.629426474,0.681095194,0.682804406,3.564634146,3.600736863,3.587284087,3.617044229,1.592382067,1.605457772,1.657534172,1.675059458,1.907611045,1.942004499,2.497802289,2.561363576,0.98303176,0.937931837,1.001593531,0.981444825
1,6,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,59.678433,0,993.8117923,0,0.05882353,0,0.027450979,nan,1.726639401,0,0.41568628,0,0.768627465,0,0.109301159,0,0.091008406,0,0.082352944,0,0.019607844,0,0,0,0.046122698,0,0.057869342,0,0.109803922,nan,1731.34119,nan,546.4521352,1730.066209,547.6164835,1784,1731,491,564,6,0.280956577,0.283005817,0.285700452,0.290860993,0.911241992,0.905408271,0.807867897,0.687936289,0.030641497,0.044932139,0.128167621,0.256313351,0.931276386,0.927574417,0.889907988,0.852288545,0.598183358,0.595691825,0.538315799,0.445981793,1.607571079,1.605959328,1.601581789,1.580677135,-0.002618061,-0.004086538,-0.014449603,-0.034382164,0.064968561,0.081124892,0.151814574,0.232028541,0.750196907,0.751303507,0.764952262,0.771389637,2.81184129,2.809331919,2.818358426,2.813391014,1.188029563,1.1860134,1.202252104,1.196677356,0.968832712,0.990580996,1.045393906,1.162109541,0.464405489,0.467137281,0.462520426,0.459825897
1,7,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,71.08235485,0,1182.898072,0,0.078431375,0,0.035294116,nan,0.515993602,0,0.823529422,0,0.964705884,0,0.15319473,0,0.124358502,0,0.105882354,0,0.027450981,0,0.003921569,0,0.082849303,0,0.076546547,0,0.149019614,nan,811.8910386,nan,599.2667725,812.1749369,599.6976451,801,810,660,659,7,0.258342759,0.25316186,0.26757818,0.265657052,0.918384775,0.887608747,0.723954802,0.71022538,0.073677568,0.109227085,0.272331868,0.28339608,0.954998128,0.950161366,0.878099725,0.874926907,0.592968601,0.559540799,0.471462747,0.462938088,1.711306765,1.732220325,1.692356537,1.701719574,-0.008809901,-0.01139545,-0.046465502,-0.048887064,0.123764666,0.140324234,0.279801336,0.28611808,0.745657511,0.742147027,0.768828123,0.770805194,2.896425522,2.916999765,2.911751412,2.922504719,1.261730924,1.276410245,1.287595502,1.298059901,1.063445806,1.105267086,1.264867554,1.271889452,0.515736044,0.491880242,0.515157662,0.488324977
1,8,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,62.15686443,0,1102.796109,0,0.062745102,0,0.027450982,nan,2.94522975,0,0.486274511,0,1,0,0.122356032,0,0.101220386,0,0.086274512,0,0.023529412,0,0.003921569,0,0.057335807,0,0.067841475,0,0.121568628,nan,1129.678255,nan,720.0814898,1132.062873,718.3529142,1136,1096,781,696,8,0.458435622,0.457930859,0.465306049,0.465384014,0.580481085,0.551140994,0.473233615,0.491933147,0.047557521,0.122375599,0.257272901,0.263969838,0.779762999,0.767941525,0.726746447,0.723541584,0.440243256,0.416337713,0.357772759,0.378903109,1.193331871,1.20566383,1.196263384,1.206976145,-0.008300635,-0.01631508,-0.048777444,-0.050392095,0.100367952,0.14089259,0.243033897,0.246145046,0.831122768,0.832859559,0.84213068,0.845465225,2.477906114,2.489608802,2.496851014,2.505071974,0.922201542,0.935282296,0.941663713,0.950515868,0.638194704,0.703844753,0.799881837,0.844699422,0.317382731,0.345811464,0.337905889,0.34053332
1,9,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,76.60000212,0,1241.537289,0,0.06666667,0,0.031372547,nan,2.035683471,0,0.913725495,0,0.913725495,0,0.132755636,0,0.109977614,0,0.094117649,0,0.019607844,0,0.003921569,0,0.091548412,0,0.070414641,0,0.129411772,nan,1325.664379,nan,761.5850843,1323.931261,762.6529365,1281,1262,781,824,9,0.287498935,0.284921073,0.30167523,0.296525289,0.87742915,0.897485493,0.725640299,0.744289641,0.027065131,0.014286196,0.198679696,0.179660305,0.941709748,0.955827571,0.877681393,0.88733212,0.568099532,0.58215917,0.487637222,0.493578302,1.614657884,1.62408767,1.599365812,1.608472061,-0.003571345,-0.0026353,-0.028996331,-0.02344234,0.076559193,0.06545446,0.216041284,0.194210893,0.750371482,0.749033941,0.777370175,0.77103228,2.792206478,2.79731243,2.798601266,2.801535399,1.185988787,1.188816711,1.211726266,1.205955888,0.925546548,0.92349069,1.08362341,1.070080099,0.496681268,0.45686644,0.487499741,0.444978168
1,10,Exp1,file:/Volumes/Seagate_RED/A_Heald_Lab/A_My_papers/AA_TECH_PAPER/REVISION/Anne/Exp1_R3-4si_LaminB1_0.tiff,0,0,0,LaminB1,R3-4si,0,82.75294334,0,1362.513763,0,0.082352944,0,0.035294116,nan,2.86976076,0,0.858823538,0,0.858823538,0,0.168197039,0,0.129775575,0,0.113725491,0,0.031372551,0,0.003921569,0,0.110133369,0,0.075561162,0,0.156862751,nan,798.9666591,nan,829.3789679,801.6332032,830.4396609,812,762,781,871,10,0.183773799,0.18811596,0.190205568,0.192311827,1.100682594,1.049547092,0.897422992,0.871768777,0.069492645,0.099117284,0.244045331,0.253712472,1.0257383,1.001337482,0.957383243,0.943967797,0.645748458,0.613454275,0.534445247,0.513184033,1.987954226,1.966761497,1.968652788,1.951285514,-0.007491917,-0.01092412,-0.034222698,-0.039359478,0.123224083,0.146617154,0.259235495,0.274967756,0.701086627,0.704557859,0.725796229,0.725423858,3.255759386,3.233766234,3.26927723,3.255241197,1.421763501,1.415856228,1.460273414,1.450071174,1.261805567,1.280069052,1.474399377,1.464263696,0.635047518,0.569932774,0.623958969,0.574649636
