"","sort(values.ANOVA.bonf)"
"Mean_FilteredChromatin_Intensity_MinIntensity_Rhodamine",9.111420912363e-165
"Mean_FilteredChromatin_Intensity_MinIntensityEdge_Rhodamine",3.438922901766e-159
"AreaShape_Zernike_0_0",6.2753612625495e-137
"Math_AspectRatio",2.267511488583e-133
"Mean_FilteredChromatin_Intensity_LowerQuartileIntensity_Rhodamine",2.5643311140315e-132
"Mean_FilteredChromatin_Intensity_MeanIntensityEdge_Rhodamine",2.6726913793965e-123
"Intensity_MaxIntensity_Rhodamine",4.5902962129695e-120
"Intensity_StdIntensityEdge_DNA",1.7094839138025e-116
"AreaShape_Zernike_8_6",1.2600173112846e-114
"Mean_FilteredChromatin_Intensity_MeanIntensity_Rhodamine",3.245911900341e-112
"Intensity_MinIntensity_Rhodamine",3.390957806478e-104
"Intensity_MinIntensityEdge_Rhodamine",2.3505632447055e-102
"AreaShape_Eccentricity",3.303746288634e-101
"Intensity_MeanIntensity_Rhodamine",3.580428553218e-99
"Intensity_MaxIntensityEdge_DNA",4.089061841238e-98
"Intensity_UpperQuartileIntensity_Rhodamine",8.1796418546205e-95
"Intensity_MeanIntensityEdge_Rhodamine",8.029918159692e-94
"Mean_FilteredChromatin_Intensity_MedianIntensity_Rhodamine",6.128571863403e-93
"AreaShape_Zernike_6_4",5.0339437659555e-92
"Intensity_StdIntensity_Rhodamine",1.36819680314295e-89
"AreaShape_Compactness",1.660570211586e-89
"Mean_FilteredChromatin_Intensity_MaxIntensity_Rhodamine",3.3887312623065e-87
"Mean_FilteredChromatin_Intensity_UpperQuartileIntensity_Rhodamine",2.00119768728e-79
"AreaShape_Zernike_8_8",2.6764950775035e-79
"Mean_FilteredChromatin_Intensity_MaxIntensityEdge_Rhodamine",5.6073587319915e-79
"Intensity_MedianIntensity_Rhodamine",3.569994916686e-78
"Intensity_MADIntensity_Rhodamine",3.4507442111175e-75
"Intensity_LowerQuartileIntensity_Rhodamine",2.492972599623e-72
"Intensity_MaxIntensityEdge_Rhodamine",2.257230115338e-70
"AreaShape_Zernike_4_2",2.089376385624e-54
"AreaShape_Extent",8.978363201379e-46
"Mean_FilteredChromatin_Intensity_IntegratedIntensityEdge_Rhodamine",4.628661000876e-45
"Intensity_LowerQuartileIntensity_DNA",3.6952205213385e-33
"AreaShape_MaxFeretDiameter",5.839546265784e-33
"Math_MaxFeretMicron",5.839546265784e-33
"AreaShape_Zernike_6_6",3.6530953601175e-31
"AreaShape_Zernike_1_1",3.9889944098565e-29
"AreaShape_MinorAxisLength",8.910784385151e-29
"AreaShape_Zernike_4_0",2.5478562836595e-23
"Mean_FilteredChromatin_Number_Object_Number",7.9609632557565e-23
"AreaShape_Zernike_3_3",1.5271376013597e-22
"Intensity_MedianIntensity_DNA",1.0176545466318e-21
"AreaShape_MajorAxisLength",1.02292662524745e-21
"Intensity_IntegratedIntensityEdge_Rhodamine",2.2310425815315e-21
"Math_MinFeretMicron",4.2619240438665e-21
"AreaShape_MinFeretDiameter",4.2619240438665e-21
"Intensity_IntegratedIntensity_Rhodamine",4.7374914232965e-21
"AreaShape_Zernike_7_7",2.626857547644e-20
"Children_FilteredChromatin_Count",1.8596124042375e-19
"AreaShape_Zernike_2_2",1.42764057416145e-18
"AreaShape_Zernike_5_5",4.768289597148e-18
"AreaShape_MaximumRadius",4.874578480431e-18
"Mean_FilteredChromatin_Intensity_MADIntensity_DNA",1.3718663957229e-16
"Mean_FilteredChromatin_AreaShape_MajorAxisLength",4.4406912596145e-16
"AreaShape_Zernike_9_9",8.670959651871e-16
"Mean_FilteredChromatin_AreaShape_MedianRadius",1.25423418342915e-14
"AreaShape_MeanRadius",7.4441723413035e-14
"Intensity_MinIntensity_DNA",1.0761105524202e-13
"Mean_FilteredChromatin_AreaShape_MaxFeretDiameter",1.16946751263045e-13
"Intensity_MinIntensityEdge_DNA",5.3907602387595e-12
"AreaShape_MedianRadius",3.0284298814935e-11
"Mean_FilteredChromatin_Intensity_IntegratedIntensity_DNA",1.37257684155075e-10
"Mean_FilteredChromatin_AreaShape_Zernike_2_2",1.3901887217658e-10
"Intensity_MADIntensity_DNA",2.0332220834805e-10
"Mean_FilteredChromatin_AreaShape_MeanRadius",5.331855701865e-10
"Mean_FilteredChromatin_AreaShape_Area",1.1181676962357e-08
"Mean_FilteredChromatin_AreaShape_Zernike_4_2",2.1117364696065e-08
"AreaShape_Zernike_7_1",2.900841660882e-08
"Mean_FilteredChromatin_Intensity_IntegratedIntensity_Rhodamine",3.9905784470805e-07
"Mean_FilteredChromatin_AreaShape_Eccentricity",5.7636676368645e-07
"Parent_Spindles",7.2134153578905e-07
"Mean_FilteredChromatin_AreaShape_Zernike_6_6",8.479237803036e-07
"Intensity_StdIntensityEdge_Rhodamine",8.900865734409e-07
"Mean_FilteredChromatin_Intensity_MassDisplacement_Rhodamine",9.469026102261e-07
"Mean_FilteredChromatin_Intensity_StdIntensity_Rhodamine",2.4531565988325e-06
"Mean_FilteredChromatin_AreaShape_Zernike_4_4",6.011519344875e-06
"Math_TotalChromatinPerimeter",1.29569850904395e-05
"Mean_FilteredChromatin_Intensity_StdIntensity_DNA",1.8132750922605e-05
