"","x"
"1","Mean_FilteredChromatin_Intensity_MinIntensity_Rhodamine"
"2","Mean_FilteredChromatin_Intensity_MinIntensityEdge_Rhodamine"
"3","AreaShape_Zernike_0_0"
"4","Mean_FilteredChromatin_Intensity_LowerQuartileIntensity_Rhodamine"
"5","Math_AspectRatio"
"6","Mean_FilteredChromatin_Intensity_MeanIntensityEdge_Rhodamine"
"7","Intensity_StdIntensityEdge_DNA"
"8","Intensity_MaxIntensity_Rhodamine"
"9","Mean_FilteredChromatin_Intensity_MeanIntensity_Rhodamine"
"10","AreaShape_Zernike_8_6"
"11","Intensity_MinIntensityEdge_Rhodamine"
"12","Intensity_MinIntensity_Rhodamine"
"13","AreaShape_Eccentricity"
"14","Intensity_MaxIntensityEdge_DNA"
"15","Intensity_MeanIntensity_Rhodamine"
"16","Intensity_MeanIntensityEdge_Rhodamine"
"17","Mean_FilteredChromatin_Intensity_MedianIntensity_Rhodamine"
"18","Intensity_UpperQuartileIntensity_Rhodamine"
"19","Mean_FilteredChromatin_Intensity_MaxIntensity_Rhodamine"
"20","AreaShape_Compactness"
"21","Intensity_StdIntensity_Rhodamine"
"22","AreaShape_Zernike_6_4"
"23","Mean_FilteredChromatin_Intensity_UpperQuartileIntensity_Rhodamine"
"24","Mean_FilteredChromatin_Intensity_MaxIntensityEdge_Rhodamine"
"25","AreaShape_Zernike_8_8"
"26","Intensity_MedianIntensity_Rhodamine"
"27","Intensity_MADIntensity_Rhodamine"
"28","Intensity_LowerQuartileIntensity_Rhodamine"
"29","Intensity_MaxIntensityEdge_Rhodamine"
"30","AreaShape_Zernike_4_2"
"31","Mean_FilteredChromatin_Intensity_IntegratedIntensityEdge_Rhodamine"
"32","AreaShape_Extent"
"33","AreaShape_Zernike_1_1"
"34","AreaShape_MinorAxisLength"
"35","Intensity_LowerQuartileIntensity_DNA"
"36","AreaShape_Zernike_4_0"
"37","AreaShape_Zernike_6_6"
"38","AreaShape_MaxFeretDiameter"
"39","Math_MaxFeretMicron"
"40","Mean_FilteredChromatin_Number_Object_Number"
"41","AreaShape_MinFeretDiameter"
"42","Math_MinFeretMicron"
"43","Intensity_IntegratedIntensity_Rhodamine"
"44","Children_FilteredChromatin_Count"
"45","Intensity_IntegratedIntensityEdge_Rhodamine"
"46","AreaShape_Zernike_3_3"
"47","Intensity_MedianIntensity_DNA"
"48","AreaShape_MaximumRadius"
"49","AreaShape_Zernike_2_2"
"50","AreaShape_MajorAxisLength"
"51","AreaShape_Zernike_5_5"
"52","AreaShape_MeanRadius"
"53","AreaShape_Zernike_7_7"
"54","AreaShape_Zernike_9_9"
"55","Mean_FilteredChromatin_AreaShape_MajorAxisLength"
"56","Mean_FilteredChromatin_AreaShape_MedianRadius"
"57","Mean_FilteredChromatin_Intensity_MADIntensity_DNA"
"58","AreaShape_MedianRadius"
"59","AreaShape_Zernike_7_1"
"60","Mean_FilteredChromatin_AreaShape_MaxFeretDiameter"
"61","Intensity_MinIntensity_DNA"
"62","Mean_FilteredChromatin_AreaShape_Zernike_2_2"
"63","Mean_FilteredChromatin_Intensity_IntegratedIntensity_DNA"
"64","Intensity_MinIntensityEdge_DNA"
"65","Intensity_MADIntensity_DNA"
"66","Mean_FilteredChromatin_AreaShape_MeanRadius"
"67","Mean_FilteredChromatin_Intensity_MassDisplacement_Rhodamine"
"68","Mean_FilteredChromatin_AreaShape_Area"
"69","Mean_FilteredChromatin_AreaShape_Zernike_4_2"
"70","Parent_Spindles"
"71","Mean_FilteredChromatin_Intensity_IntegratedIntensity_Rhodamine"
"72","Math_TotalChromatinPerimeter"
"73","Intensity_StdIntensityEdge_Rhodamine"
"74","Mean_FilteredChromatin_AreaShape_Zernike_6_6"
"75","Mean_FilteredChromatin_AreaShape_Eccentricity"
"76","Mean_FilteredChromatin_Intensity_StdIntensity_Rhodamine"
"77","AreaShape_FormFactor"
"78","AreaShape_Zernike_9_1"
"79","Mean_FilteredChromatin_AreaShape_MinFeretDiameter"
"80","Mean_FilteredChromatin_Intensity_MedianIntensity_DNA"
"81","Mean_FilteredChromatin_Intensity_UpperQuartileIntensity_DNA"
"82","Intensity_MeanIntensityEdge_DNA"
"83","Mean_FilteredChromatin_AreaShape_Zernike_4_4"
"84","Mean_FilteredChromatin_Intensity_StdIntensity_DNA"
"85","AreaShape_Zernike_2_0"
"86","Mean_FilteredChromatin_Intensity_MaxIntensity_DNA"
"87","AreaShape_Zernike_9_5"
"88","Mean_FilteredChromatin_AreaShape_MaximumRadius"
"89","Mean_FilteredChromatin_Intensity_MADIntensity_Rhodamine"
"90","Mean_FilteredChromatin_AreaShape_MinorAxisLength"
"91","Mean_FilteredChromatin_AreaShape_Zernike_8_0"
"92","Mean_FilteredChromatin_Intensity_MeanIntensity_DNA"
"93","Mean_FilteredChromatin_AreaShape_Zernike_4_0"
"94","AreaShape_Zernike_9_3"
"95","Math_TotalChromatinMaxFeret"
