"","P_lt_0_1"
"AreaShape_Zernike_6_6",0.0689932809171977
"AreaShape_Zernike_7_1",0.0785752086898625
"Intensity_MassDisplacement_DNA",0.0986117620651829
"Intensity_MeanIntensity_Rhodamine",0.0843099517100902
"Intensity_StdIntensity_DNA",0.0921510462499751
"Math_AspectRatio",0.0945563559002807
"Mean_FilteredChromatin_AreaShape_Perimeter",0.0947199877564427
"Mean_FilteredChromatin_AreaShape_Solidity",0.0885000785167419
"Mean_FilteredChromatin_AreaShape_Zernike_2_0",0.069935670836878
"Mean_FilteredChromatin_AreaShape_Zernike_4_2",0.0546550820627778
"Mean_FilteredChromatin_AreaShape_Zernike_5_3",0.0500725871649629
"Mean_FilteredChromatin_Intensity_MADIntensity_DNA",0.0644841655574667
"Mean_FilteredChromatin_Intensity_MADIntensity_Rhodamine",0.0783723145523127
