"","x_idx_a","x_idx_b","p-value"
"1",5,1,0
"2",6,1,0
"3",7,1,0
"4",8,1,0
"5",9,1,0
"6",10,1,0
"7",11,1,0
"8",12,1,0
"9",14,1,0
"10",15,1,0
"11",21,1,0
"12",22,1,0
"13",26,1,0
"14",27,1,0
"15",34,1,0
"16",35,1,0
"17",40,1,0
"18",44,1,0
"19",45,1,0
"20",46,1,0
"21",47,1,0
"22",48,1,0
"23",49,1,0
"24",50,1,0
"25",51,1,0
"26",53,1,0
"27",54,1,0
"28",55,1,0
"29",56,1,0
"30",57,1,0
"31",59,1,0
"32",60,1,0
"33",61,1,0
"34",63,1,0
"35",64,1,0
"36",65,1,0
"37",66,1,0
"38",67,1,0
"39",69,1,0
"40",73,1,0
"41",74,1,0
"42",75,1,0
"43",76,1,0
"44",77,1,0
"45",78,1,0
"46",79,1,0
"47",80,1,0
"48",81,1,0
"49",82,1,0
"50",83,1,0
"51",84,1,0
"52",85,1,0
"53",86,1,0
"54",87,1,0
"55",91,1,0
"56",92,1,0
"57",93,1,0
"58",94,1,0
"59",95,1,0
"60",98,1,0
"61",99,1,0
"62",101,1,0
"63",102,1,0
"64",103,1,0
"65",133,1,0
"66",134,1,0
"67",135,1,0
"68",136,1,0
"69",137,1,0
"70",138,1,0
"71",139,1,0
"72",140,1,0
"73",141,1,0
"74",143,1,0
"75",144,1,0
"76",145,1,0
"77",146,1,0
"78",147,1,0
"79",148,1,0
"80",149,1,0
"81",150,1,0
"82",151,1,0
"83",152,1,0
"84",153,1,0
"85",154,1,0
"86",155,1,0
"87",156,1,0
"88",157,1,0
"89",158,1,0
"90",159,1,0
"91",160,1,0
"92",161,1,0
"93",162,1,0
"94",164,1,0
"95",165,1,0
"96",3,2,0
"97",4,2,0
"98",5,2,0
"99",6,2,0
"100",7,2,0
"101",8,2,0
"102",9,2,0
"103",10,2,0
"104",12,2,0
"105",14,2,0
"106",15,2,0
"107",16,2,0
"108",17,2,0
"109",18,2,0
"110",19,2,0
"111",52,2,0
"112",54,2,0
"113",60,2,0
"114",64,2,0
"115",66,2,0
"116",68,2,0
"117",70,2,0
"118",74,2,0
"119",76,2,0
"120",78,2,0
"121",80,2,0
"122",85,2,0
"123",88,2,0
"124",91,2,0
"125",93,2,0
"126",94,2,0
"127",102,2,0
"128",138,2,0
"129",144,2,0
"130",146,2,0
"131",148,2,0
"132",150,2,0
"133",152,2,0
"134",158,2,0
"135",160,2,0
"136",162,2,0
"137",165,2,0
"138",2,3,0
"139",4,3,0
"140",5,3,0
"141",6,3,0
"142",7,3,0
"143",8,3,0
"144",9,3,0
"145",10,3,0
"146",11,3,0
"147",12,3,0
"148",15,3,0
"149",16,3,0
"150",17,3,0
"151",18,3,0
"152",19,3,0
"153",20,3,0
"154",21,3,0
"155",23,3,0
"156",24,3,0
"157",25,3,0
"158",27,3,0
"159",30,3,0
"160",31,3,0
"161",32,3,0
"162",35,3,0
"163",39,3,0
"164",40,3,0
"165",45,3,0
"166",50,3,0
"167",51,3,0
"168",52,3,0
"169",53,3,0
"170",54,3,0
"171",58,3,0
"172",60,3,0
"173",62,3,0
"174",63,3,0
"175",64,3,0
"176",65,3,0
"177",66,3,0
"178",67,3,0
"179",68,3,0
"180",69,3,0
"181",70,3,0
"182",74,3,0
"183",75,3,0
"184",76,3,0
"185",78,3,0
"186",80,3,0
"187",81,3,0
"188",134,3,0
"189",136,3,0
"190",138,3,0
"191",140,3,0
"192",143,3,0
"193",144,3,0
"194",146,3,0
"195",147,3,0
"196",148,3,0
"197",150,3,0
"198",152,3,0
"199",153,3,0
"200",154,3,0
"201",155,3,0
"202",156,3,0
"203",157,3,0
"204",158,3,0
"205",160,3,0
"206",162,3,0
"207",163,3,0
"208",165,3,0
"209",2,4,0
"210",3,4,0
"211",5,4,0
"212",6,4,0
"213",7,4,0
"214",8,4,0
"215",9,4,0
"216",10,4,0
"217",12,4,0
"218",14,4,0
"219",15,4,0
"220",16,4,0
"221",18,4,0
"222",19,4,0
"223",20,4,0
"224",23,4,0
"225",25,4,0
"226",26,4,0
"227",30,4,0
"228",33,4,0
"229",34,4,0
"230",39,4,0
"231",44,4,0
"232",47,4,0
"233",48,4,0
"234",52,4,0
"235",53,4,0
"236",54,4,0
"237",55,4,0
"238",56,4,0
"239",57,4,0
"240",60,4,0
"241",64,4,0
"242",66,4,0
"243",68,4,0
"244",70,4,0
"245",71,4,0
"246",74,4,0
"247",76,4,0
"248",78,4,0
"249",80,4,0
"250",85,4,0
"251",88,4,0
"252",134,4,0
"253",136,4,0
"254",138,4,0
"255",140,4,0
"256",144,4,0
"257",146,4,0
"258",148,4,0
"259",150,4,0
"260",152,4,0
"261",154,4,0
"262",156,4,0
"263",158,4,0
"264",160,4,0
"265",162,4,0
"266",165,4,0
"267",1,5,0
"268",2,5,0
"269",3,5,0
"270",4,5,0
"271",6,5,0
"272",7,5,0
"273",8,5,0
"274",9,5,0
"275",10,5,0
"276",11,5,0
"277",14,5,0
"278",15,5,0
"279",16,5,0
"280",18,5,0
"281",19,5,0
"282",20,5,0
"283",23,5,0
"284",24,5,0
"285",25,5,0
"286",26,5,0
"287",30,5,0
"288",33,5,0
"289",34,5,0
"290",39,5,0
"291",43,5,0
"292",44,5,0
"293",46,5,0
"294",47,5,0
"295",48,5,0
"296",49,5,0
"297",52,5,0
"298",54,5,0
"299",55,5,0
"300",56,5,0
"301",57,5,0
"302",58,5,0
"303",60,5,0
"304",61,5,0
"305",62,5,0
"306",64,5,0
"307",66,5,0
"308",67,5,0
"309",69,5,0
"310",71,5,0
"311",72,5,0
"312",74,5,0
"313",76,5,0
"314",77,5,0
"315",78,5,0
"316",79,5,0
"317",80,5,0
"318",81,5,0
"319",83,5,0
"320",84,5,0
"321",85,5,0
"322",86,5,0
"323",92,5,0
"324",102,5,0
"325",138,5,0
"326",140,5,0
"327",143,5,0
"328",144,5,0
"329",146,5,0
"330",147,5,0
"331",148,5,0
"332",150,5,0
"333",152,5,0
"334",153,5,0
"335",155,5,0
"336",158,5,0
"337",160,5,0
"338",162,5,0
"339",163,5,0
"340",165,5,0
"341",1,6,0
"342",2,6,0
"343",3,6,0
"344",4,6,0
"345",5,6,0
"346",7,6,0
"347",8,6,0
"348",9,6,0
"349",10,6,0
"350",11,6,0
"351",12,6,0
"352",14,6,0
"353",15,6,0
"354",16,6,0
"355",18,6,0
"356",20,6,0
"357",23,6,0
"358",26,6,0
"359",30,6,0
"360",34,6,0
"361",39,6,0
