"","x"
"1","AreaShape_Area"
"2","AreaShape_Compactness"
"3","AreaShape_Eccentricity"
"4","AreaShape_Extent"
"5","AreaShape_FormFactor"
"6","AreaShape_MajorAxisLength"
"7","AreaShape_MaxFeretDiameter"
"8","AreaShape_MaximumRadius"
"9","AreaShape_MeanRadius"
"10","AreaShape_MedianRadius"
"11","AreaShape_MinFeretDiameter"
"12","AreaShape_MinorAxisLength"
"13","AreaShape_Orientation"
"14","AreaShape_Perimeter"
"15","AreaShape_Solidity"
"16","AreaShape_Zernike_0_0"
"17","AreaShape_Zernike_1_1"
"18","AreaShape_Zernike_2_0"
"19","AreaShape_Zernike_2_2"
"20","AreaShape_Zernike_3_1"
"21","AreaShape_Zernike_3_3"
"22","AreaShape_Zernike_4_0"
"23","AreaShape_Zernike_4_2"
"24","AreaShape_Zernike_4_4"
"25","AreaShape_Zernike_5_1"
"26","AreaShape_Zernike_5_3"
"27","AreaShape_Zernike_5_5"
"28","AreaShape_Zernike_6_0"
"29","AreaShape_Zernike_6_2"
"30","AreaShape_Zernike_6_4"
"31","AreaShape_Zernike_6_6"
"32","AreaShape_Zernike_7_1"
"33","AreaShape_Zernike_7_3"
"34","AreaShape_Zernike_7_5"
"35","AreaShape_Zernike_7_7"
"36","AreaShape_Zernike_8_0"
"37","AreaShape_Zernike_8_2"
"38","AreaShape_Zernike_8_4"
"39","AreaShape_Zernike_8_6"
"40","AreaShape_Zernike_8_8"
"41","AreaShape_Zernike_9_1"
"42","AreaShape_Zernike_9_3"
"43","AreaShape_Zernike_9_5"
"44","AreaShape_Zernike_9_7"
"45","AreaShape_Zernike_9_9"
"46","Children_FilteredChromatin_Count"
"47","Intensity_IntegratedIntensityEdge_DNA"
"48","Intensity_IntegratedIntensityEdge_Rhodamine"
"49","Intensity_IntegratedIntensity_DNA"
"50","Intensity_IntegratedIntensity_Rhodamine"
"51","Intensity_LowerQuartileIntensity_DNA"
"52","Intensity_LowerQuartileIntensity_Rhodamine"
