"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"AreaShape_Area",1,4128,11808.2868217054,7850.54032690596,10331,10865.3177966102,7405.587,1978,47438,45460,1.18710703681108,1.70221224822222,122.188323070025
"AreaShape_Compactness",2,4128,1.43354206128148,0.96535590376711,1.24529886246461,1.29935159500478,0.217125645578515,1.00248871609052,27.7969464992728,26.7944577831823,17.1565458692256,407.86909280438,0.0150251083537253
"AreaShape_Eccentricity",3,4128,0.788920768925203,0.141941482323869,0.825533497048145,0.807888758596321,0.117154108472575,0.134236132750646,0.998668728734253,0.864432595983607,-1.29026252914662,1.71422117718829,0.00220922267474839
"AreaShape_EulerNumber",4,4128,1,0,1,1,0,1,1,0,NA,NA,0
"AreaShape_Extent",5,4128,0.587129503055365,0.119947004401266,0.612590579710145,0.59831079329097,0.111008857424465,0.0292970135489821,0.838662075750123,0.809365062201141,-0.896592466593394,0.712104677067574,0.00186689357862836
"AreaShape_FormFactor",6,4128,0.519700743380505,0.200443161030154,0.552669645855523,0.529917356177141,0.228170662674703,0.034011011155038,0.86824573642094,0.834234725265902,-0.388216151706847,-0.856773214922305,0.00311976153197882
"AreaShape_MajorAxisLength",7,4128,165.745663936777,63.0040782991538,161.551711675019,161.506350440095,56.1711423119866,53.7556686630861,547.355805846827,493.600137183741,1.0770138105506,3.01174027717394,0.980615645978121
"AreaShape_MaxFeretDiameter",8,4128,173.80594751472,63.6680125314661,170.751281107932,169.963915888156,59.2533019479276,55.7135531087365,518.098446243569,462.384893134832,0.884577932492461,2.05651547998257,0.990949330934428
"AreaShape_MaximumRadius",9,4128,41.6918922012727,16.6190306270968,40.7921561087423,40.9509513800336,18.0750538762794,5,107.415082739809,102.415082739809,0.380831069850794,-0.298844563454601,0.25866391341431
"AreaShape_MeanRadius",10,4128,14.9462258896412,6.01502026547585,14.6753602645304,14.7309934371283,6.72621435597928,2.04147559294259,37.788232580841,35.7467569878984,0.296424920973454,-0.444950087850406,0.0936197011754446
"AreaShape_MedianRadius",11,4128,13.2813955960384,5.42951751534511,13.0384048104053,13.1050107879355,6.00394093370865,2,33.2866339541865,31.2866339541865,0.26143571075661,-0.512130423660581,0.0845067489183662
"AreaShape_MinFeretDiameter",12,4128,97.0054166106889,36.2341040517253,93.2992633610113,94.2497831214796,34.962837732766,22.6226721483758,303.898608204442,281.275936056066,0.804688814964716,0.953262447814935,0.56395919613982
"AreaShape_MinorAxisLength",13,4128,90.5350504191221,34.3571022036266,86.7632976041639,87.9672305464677,33.3732303528062,14.8858623786817,298.268119219227,283.382256840546,0.780885344556556,0.886901551990951,0.534744938436758
"AreaShape_Orientation",14,4128,-1.79958331705241,52.2487957080465,-2.45741883481274,-2.14709069832858,66.7509425448468,-89.9870681816472,89.9939170723383,179.980985253986,0.040055759058613,-1.21083150777377,0.813216984328347
"AreaShape_Perimeter",15,4128,544.977056686045,257.345797899834,493.726999999998,509.258602300241,161.257954199999,178.668,2976.51000000006,2797.84200000006,2.82193339686773,14.4701016443063,4.0054123901165
"AreaShape_Solidity",16,4128,0.870326741308883,0.116204364681708,0.911126215456891,0.8893555811369,0.0849926261549613,0.139500734214391,0.988968270645093,0.849467536430703,-1.47757096308603,2.24138947447585,0.00180864193579292
"AreaShape_Zernike_0_0",17,4128,0.474481460726619,0.146243372338768,0.470819416941826,0.472684517414758,0.143570405585586,0.0161638968093391,0.913045279405548,0.896881382596209,0.0942968626196212,-0.148287544872625,0.00227617866822958
