"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"AreaShape_Area",1,5710,12013.557267951,8071.01071972838,10488.5,11005.7985989492,7490.0952,1967,48643,46676,1.23580809055091,1.83664787653323,106.809497040939
"AreaShape_Compactness",2,5710,1.47934100033411,1.05279802547376,1.27154632871245,1.33243409087375,0.24213282561397,1.00248871609052,40.3475331082338,39.3450443921433,19.0831480751633,538.552245047867,0.0139324344238178
"AreaShape_Eccentricity",3,5710,0.798279297511058,0.140953355181855,0.835014306093708,0.817666422274387,0.113591768408832,0.119435974966701,0.999782961599612,0.880346986632911,-1.33262828726549,1.87255525069572,0.00186533725403272
"AreaShape_EulerNumber",4,5710,1,0,1,1,0,1,1,0,NA,NA,0
"AreaShape_Extent",5,5710,0.57709242679786,0.122679473802867,0.601253140484332,0.587761774618403,0.118466599919687,0.0292970135489821,0.838662075750123,0.809365062201141,-0.810800403939349,0.469255726100842,0.00162350582215214
"AreaShape_FormFactor",6,5710,0.508478524689263,0.195436356940186,0.532902406099451,0.516211389877334,0.224979589484971,0.0323763013350965,0.86824573642094,0.835869435085843,-0.306981368049512,-0.862860324083829,0.00258635005121109
"AreaShape_MajorAxisLength",7,5710,170.278947346058,65.5372310984109,167.287168393629,165.769774760096,58.6725223396915,53.7556686630861,729.959496739074,676.203828075988,1.1769808777437,3.83115107639001,0.867301374531274
"AreaShape_MaxFeretDiameter",8,5710,178.346292212788,65.9375933186608,176.076687746405,174.330743464215,61.9037707705814,55.7135531087365,681.916417165623,626.202864056886,0.921054090296475,2.39804216082463,0.872599656105175
"AreaShape_MaximumRadius",9,5710,41.4002352248401,16.7784142421463,40.3112887414927,40.5106886079776,18.0321433008794,5,107.415082739809,102.415082739809,0.45261329333901,-0.176904341953032,0.222040838326193
"AreaShape_MeanRadius",10,5710,14.8669747595672,6.04455038287991,14.5995983999405,14.6076044467388,6.74217390989492,2.04147559294259,37.788232580841,35.7467569878984,0.353686557316449,-0.350978960893654,0.0799918880860746
"AreaShape_MedianRadius",11,5710,13.2186533204273,5.43888643179491,13,13.0046043349173,5.97396822612248,2,33.2866339541865,31.2866339541865,0.316582002094895,-0.418895950406493,0.0719767008638484
"AreaShape_MinFeretDiameter",12,5710,97.2368210866846,37.2249871095512,93,94.1943829536167,35.3399655740522,17.2009592489697,303.898608204442,286.697648955472,0.809719610171304,0.777980837418765,0.492625061295968
"AreaShape_MinorAxisLength",13,5710,90.4636753325408,35.1648905141481,86.2071386732883,87.658158868085,33.5379538337366,14.8858623786817,298.268119219227,283.382256840546,0.788386888335137,0.739794849122589,0.46536231950913
"AreaShape_Orientation",14,5710,-1.39764045116409,51.9310635516797,-1.72677201737497,-1.67984958664092,65.6740961933796,-89.9870681816472,89.9939170723383,179.980985253986,0.0317817122452689,-1.18536269613781,0.687241161159384
"AreaShape_Perimeter",15,5710,552.643365674254,250.3955019641,505.675999999998,520.150583625217,169.2150684,178.668,2976.51000000006,2797.84200000006,2.50348774779772,12.2360721145358,3.31366399510855
"AreaShape_Solidity",16,5710,0.863930158641044,0.117337340569573,0.902876285066555,0.882231037847339,0.0919887502642825,0.139500734214391,0.988968270645093,0.849467536430703,-1.41944396730868,2.09519223061633,0.00155280952603905
"AreaShape_Zernike_0_0",17,5710,0.460226026492036,0.147431861283955,0.455474247249104,0.457860389468829,0.145564296869496,0.0142736666882527,0.922532185208788,0.908258518520536,0.134618327988118,-0.165144940294139,0.00195107199065629
"AreaShape_Zernike_1_1",18,5710,0.043803289379265,0.0286570462084983,0.0374024925199158,0.040682911582469,0.0268097433527827,0.000363740455425669,0.165416813462814,0.165053073007389,0.969652849038737,0.635478323490681,0.000379239329310626
"AreaShape_Zernike_2_0",19,5710,0.160149124671502,0.0401300528999491,0.170893024096504,0.165441973105291,0.0336127261205546,0.000367548506153814,0.228448576608757,0.228081028102603,-1.16813572352408,1.02462165344416,0.000531069888928867
"AreaShape_Zernike_2_2",20,5710,0.0616182144669745,0.0186508171387633,0.0645896326464988,0.0628597715114324,0.0173396063701219,0.0028759957714674,0.120803189186361,0.117927193414893,-0.572872140824345,0.179308229885002,0.000246819694232903
"AreaShape_Zernike_3_1",21,5710,0.026424519340496,0.0181449358294287,0.0221059272409363,0.0245309622766285,0.0176911537687603,7.7545512683947e-05,0.088751751375044,0.0886742058623601,0.827890789926203,-0.0145973024718438,0.000240125002565556
"AreaShape_Zernike_3_3",22,5710,0.0144369250671959,0.0107346448289173,0.0117813188976638,0.0128939088488408,0.00856474876096572,0.0001079988808277,0.077790416764663,0.0776824178838353,1.61755785843933,3.52519774670908,0.00014205928537391
"AreaShape_Zernike_4_0",23,5710,0.0278476669286459,0.0179725846570915,0.0263908779556944,0.0270003232603727,0.0216658965479608,1.42863558325612e-05,0.0853385103807096,0.085324224024877,0.35364445208715,-0.750099464814121,0.000237844155386557
"AreaShape_Zernike_4_2",24,5710,0.0332295232770817,0.0147318049023531,0.0343861948099864,0.0336512930713948,0.0169958634733158,0.000438541173690928,0.0740986571599109,0.0736601159862199,-0.214148582773913,-0.819109935063092,0.000194956583105434
"AreaShape_Zernike_4_4",25,5710,0.0246681602170725,0.00794691432471005,0.0261315695679681,0.0252327157662435,0.00777058549222788,0.000684047988981016,0.0483489501501195,0.0476649021611384,-0.578362170440835,-0.195137364542613,0.000105167240079974
"AreaShape_Zernike_5_1",26,5710,0.0135385316027585,0.00884125123707183,0.0118244072758099,0.0127233384294531,0.00909384459430539,0.00024954667210654,0.0628303878168066,0.0625808411447001,0.763302803733173,0.0979063560304327,0.000117002644481187
"AreaShape_Zernike_5_3",27,5710,0.0120643476780615,0.00814047774935966,0.0102981836103377,0.0111267403719821,0.00736673194320535,0.000178648964086642,0.058360691573386,0.0581820426092994,1.15125822287322,1.57855733362918,0.000107728804269427
"AreaShape_Zernike_5_5",28,5710,0.00723836590994336,0.00521350915966138,0.00603029457648582,0.00652058001626842,0.00433014778512347,7.13404590504308e-05,0.0338927569789298,0.0338214165198794,1.39170836742063,2.26167799601273,6.8994121120496e-05
"AreaShape_Zernike_6_0",29,5710,0.0128175350562773,0.00900012834151249,0.0113775999971441,0.0121288049678089,0.00999201308657852,8.59484074891671e-06,0.0561918744081033,0.0561832795673544,0.585959195435625,-0.441112492524134,0.000119105179616612
"AreaShape_Zernike_6_2",30,5710,0.0124817916965141,0.00662930250452577,0.0119428825578429,0.0121888982612136,0.00729320076019582,0.000185419379056747,0.0393472809356602,0.0391618615566034,0.376405615548621,-0.518935817129191,8.77303340100713e-05
"AreaShape_Zernike_6_4",31,5710,0.014868077345902,0.00702840369086012,0.0148494053134452,0.0148706547487935,0.00827328999621245,0.000213932230626112,0.0401288758042371,0.0399149435736109,0.030224255081133,-0.811636806671232,9.30119274140569e-05
"AreaShape_Zernike_6_6",32,5710,0.0128324252114117,0.00431354541063887,0.0134947664251025,0.013083401832798,0.0044371559647995,0.000141860340148088,0.0255866455884893,0.0254447852483413,-0.464028286296744,-0.290965830072758,5.70842527376912e-05
